date,mean_temp_c,min_temp_c,max_temp_c
2020-03-01,15.918939208984398,13.141503906250023,18.882714843750023
2020-03-02,15.364007568359398,13.034265136718773,17.435906982421898
2020-03-03,16.463891601562523,12.053186035156273,21.866906738281273
2020-03-04,18.447015380859398,11.713220214843773,24.874627685546898
2020-03-05,19.819787597656273,12.318200683593773,26.648553466796898
2020-03-06,18.589593505859398,12.509759521484398,24.998315429687523
2020-03-07,17.531030273437523,10.593377685546898,24.583001708984398
2020-03-08,19.155877685546898,12.177270507812523,25.457208251953148
2020-03-09,19.750024414062523,13.296441650390648,26.899072265625023
2020-03-10,20.120996093750023,14.628411865234398,26.620782470703148
2020-03-11,20.114129638671898,15.356561279296898,25.527185058593773
2020-03-12,18.399011230468773,14.487298583984398,22.470483398437523
2020-03-13,16.279870605468773,13.795556640625023,20.819665527343773
2020-03-14,19.176812744140648,13.815270996093773,25.445581054687523
2020-03-15,20.362908935546898,15.017083740234398,26.858056640625023
2020-03-16,19.333154296875023,13.479455566406273,25.975305175781273
2020-03-17,15.080865478515648,12.792749023437523,17.479547119140648
2020-03-18,17.841516113281273,13.593835449218773,22.879541015625023
2020-03-19,19.916253662109398,14.054345703125023,26.225793457031273
2020-03-20,20.218133544921898,15.018792724609398,26.129144287109398
2020-03-21,19.820245361328148,14.951531982421898,26.299707031250023
2020-03-22,16.324243164062523,13.942071533203148,19.386621093750023
2020-03-23,17.405633544921898,13.191217041015648,23.511560058593773
2020-03-24,19.647607421875023,13.421533203125023,25.829553222656273
2020-03-25,20.331475830078148,13.087487792968773,27.018426513671898
2020-03-26,19.746514892578148,11.847131347656273,27.672509765625023
2020-03-27,17.087152099609398,10.101647949218773,25.082421875000023
2020-03-28,15.839349365234398,12.203637695312523,20.721093750000023
2020-03-29,17.724481201171898,12.065240478515648,23.708398437500023
2020-03-30,18.840753173828148,13.721093750000023,23.981011962890648
2020-03-31,17.954034423828148,15.492700195312523,21.371575927734398
2020-04-01,18.143975830078148,12.849725341796898,24.136468505859398
2020-04-02,14.191766357421898,12.412072753906273,16.681146240234398
2020-04-03,13.325738525390648,10.964654541015648,16.966912841796898
2020-04-04,13.386163330078148,9.069848632812523,17.250360107421898
2020-04-05,15.515802001953148,8.609216308593773,22.457818603515648
2020-04-06,17.682885742187523,10.084252929687523,25.562921142578148
2020-04-07,16.271752929687523,8.612756347656273,23.680718994140648
2020-04-08,15.316522216796898,7.619348144531273,21.389001464843773
2020-04-09,15.800347900390648,12.923638916015648,19.930383300781273
2020-04-10,15.561425781250023,11.482995605468773,20.241815185546898
2020-04-11,16.991632080078148,11.884698486328148,23.614099121093773
2020-04-12,18.800592041015648,11.606591796875023,26.203759765625023
2020-04-13,18.794152832031273,13.443688964843773,25.859796142578148
2020-04-14,15.740167236328148,11.253594970703148,20.537530517578148
2020-04-15,14.427453613281273,8.348413085937523,20.834466552734398
2020-04-16,13.648492431640648,7.298547363281273,20.806115722656273
2020-04-17,14.633752441406273,5.867944335937523,22.578027343750023
2020-04-18,15.425378417968773,11.457910156250023,21.302301025390648
2020-04-19,16.356652832031273,10.348229980468773,22.042932128906273
2020-04-20,17.171197509765648,12.159692382812523,23.785485839843773
2020-04-21,16.945123291015648,10.862207031250023,24.825494384765648
2020-04-22,15.858148193359398,9.030480957031273,23.405023193359398
2020-04-23,15.759393310546898,9.242913818359398,22.542718505859398
2020-04-24,15.663262939453148,10.261254882812523,21.914361572265648
2020-04-25,15.524499511718773,11.265802001953148,22.190942382812523
2020-04-26,14.984002685546898,10.358361816406273,21.057305908203148
2020-04-27,13.535455322265648,10.700616455078148,17.283929443359398
2020-04-28,12.064630126953148,9.911309814453148,14.703027343750023
2020-04-29,12.580499267578148,6.683923339843773,17.337365722656273
2020-04-30,12.837731933593773,5.882318115234398,20.302636718750023
2020-05-01,14.501123046875023,8.515496826171898,22.831811523437523
2020-05-02,14.497399902343773,8.490899658203148,22.639001464843773
2020-05-03,15.257379150390648,9.270562744140648,23.055261230468773
2020-05-04,15.213830566406273,7.220666503906273,23.876947021484398
2020-05-05,14.418450927734398,7.997186279296898,22.932458496093773
2020-05-06,13.853570556640648,7.753259277343773,22.252343750000023
2020-05-07,13.204766845703148,5.130822753906273,21.445306396484398
2020-05-08,14.398431396484398,7.499078369140648,22.767358398437523
2020-05-09,14.529992675781273,8.240625000000023,22.600396728515648
2020-05-10,13.717523193359398,6.746697998046898,21.778222656250023
2020-05-11,14.402947998046898,8.856530761718773,22.164514160156273
2020-05-12,13.982354736328148,6.673089599609398,22.205987548828148
2020-05-13,13.539239501953148,6.715478515625023,21.522973632812523
2020-05-14,11.497064208984398,3.4563842773437727,20.766687011718773
2020-05-15,11.719506835937523,4.614251708984398,20.311212158203148
2020-05-16,12.582910156250023,5.309960937500023,21.322473144531273
2020-05-17,12.007348632812523,4.491540527343773,20.697717285156273
2020-05-18,13.112603759765648,5.928948974609398,22.639184570312523
2020-05-19,13.706567382812523,6.023583984375023,22.157556152343773
2020-05-20,13.352288818359398,5.818994140625023,22.258782958984398
2020-05-21,12.387628173828148,6.679315185546898,19.957879638671898
2020-05-22,12.961419677734398,6.355279541015648,20.829766845703148
2020-05-23,13.067498779296898,5.447198486328148,21.238977050781273
2020-05-24,13.410943603515648,7.768121337890648,20.444268798828148
2020-05-25,13.564233398437523,9.027276611328148,19.501367187500023
2020-05-26,9.001672363281273,0.7283264160156477,15.848870849609398
2020-05-27,4.911859130859398,-0.7100585937499773,12.283227539062523
2020-05-28,7.821710205078148,-0.10080566406247726,17.305535888671898
