date,region,pm25,pm10,pm25_ugm3,pm10_ugm3
2024-01-01,Johannesburg,2.4211644245042407e-08,3.4730895492884883e-08,24.211644245042407,34.73089549288488
2024-01-02,Johannesburg,2.1049784137971983e-08,3.007905036156444e-08,21.049784137971983,30.07905036156444
2024-01-03,Johannesburg,2.1303183217469268e-08,3.0542658180365834e-08,21.303183217469268,30.542658180365834
2024-01-04,Johannesburg,3.2747013989364866e-08,4.68232919104139e-08,32.747013989364866,46.8232919104139
2024-01-05,Johannesburg,1.811347516422757e-08,2.5879000276063383e-08,18.11347516422757,25.879000276063383
2024-01-06,Johannesburg,1.7688151388028928e-08,2.529079523583277e-08,17.688151388028928,25.29079523583277
2024-01-07,Johannesburg,4.5674259041561533e-08,6.528149043560917e-08,45.674259041561534,65.28149043560917
2024-01-08,Johannesburg,3.9895223125085983e-08,5.7034657885424174e-08,39.895223125085984,57.034657885424174
2024-01-09,Johannesburg,9.079093921116056e-09,1.2958490280823298e-08,9.079093921116057,12.958490280823298
2024-01-10,Johannesburg,3.9329108858510153e-08,5.6291810324182734e-08,39.32910885851015,56.291810324182734
2024-01-11,Johannesburg,1.4108490375974725e-08,2.0188300808854365e-08,14.108490375974725,20.188300808854365
2024-01-12,Johannesburg,1.305530528128429e-08,1.8672874801950456e-08,13.05530528128429,18.672874801950456
2024-01-13,Johannesburg,2.3508038182740165e-08,3.357946454229932e-08,23.508038182740165,33.57946454229932
2024-01-14,Johannesburg,3.01006082281674e-08,4.303525713567069e-08,30.100608228167403,43.03525713567069
2024-01-15,Johannesburg,4.138496834116268e-08,5.921902257455258e-08,41.38496834116268,59.21902257455258
2024-01-16,Johannesburg,7.526575274141578e-08,1.0765667468604081e-07,75.26575274141578,107.65667468604082
2024-01-17,Johannesburg,2.7722313333811144e-08,3.9647609639814625e-08,27.722313333811144,39.647609639814625
2024-01-18,Johannesburg,1.75118817224984e-08,2.501658435960508e-08,17.5118817224984,25.01658435960508
2024-01-19,Johannesburg,3.6365646050029454e-09,5.247115186790552e-09,3.6365646050029454,5.247115186790552
2024-01-20,Johannesburg,1.0583623755167082e-08,1.553622297478796e-08,10.583623755167082,15.536222974787961
2024-01-21,Johannesburg,5.6421654903715535e-08,8.092617065358355e-08,56.421654903715535,80.92617065358355
2024-01-22,Johannesburg,3.751848964839155e-08,5.3805258914962906e-08,37.51848964839155,53.805258914962906
2024-01-23,Johannesburg,3.094556433325124e-08,4.439881706730375e-08,30.94556433325124,44.39881706730375
2024-01-24,Johannesburg,1.0524050964022535e-08,1.5423671229086722e-08,10.524050964022535,15.423671229086722
2024-01-25,Johannesburg,2.9455870631522885e-08,4.2302886527068046e-08,29.455870631522885,42.30288652706805
2024-01-26,Johannesburg,4.2736477467997254e-08,6.118989404058084e-08,42.736477467997254,61.18989404058084
2024-01-27,Johannesburg,3.008653948199935e-08,4.30159161624033e-08,30.086539481999353,43.0159161624033
2024-01-28,Johannesburg,1.901605095611103e-08,2.7192559315381004e-08,19.01605095611103,27.192559315381004
2024-01-29,Johannesburg,1.6293491000851645e-08,2.3324911779809557e-08,16.293491000851645,23.324911779809558
2024-01-30,Johannesburg,4.8817700104564217e-08,6.982645572861658e-08,48.81770010456422,69.82645572861658
2024-01-31,Johannesburg,2.362862794313969e-08,3.410106685919345e-08,23.62862794313969,34.10106685919345
2024-02-01,Johannesburg,6.563829035854951e-09,9.686126567487465e-09,6.563829035854951,9.686126567487465
2024-02-02,Johannesburg,6.166387844785959e-09,8.909429638492838e-09,6.166387844785959,8.909429638492838
2024-02-03,Johannesburg,3.377567736606579e-08,4.875164805184795e-08,33.77567736606579,48.75164805184795
2024-02-04,Johannesburg,2.649972152823921e-08,3.8009151381857016e-08,26.49972152823921,38.009151381857016
2024-02-05,Johannesburg,2.456363290548325e-08,3.5235643736086786e-08,24.56363290548325,35.235643736086786
2024-02-06,Johannesburg,1.4070792531128973e-08,2.027445589192212e-08,14.070792531128973,20.27445589192212
2024-02-07,Johannesburg,3.0899229841452325e-08,4.42851195714411e-08,30.899229841452325,44.2851195714411
2024-02-08,Johannesburg,3.598985287567302e-08,5.1874849305022515e-08,35.98985287567302,51.874849305022515
2024-02-09,Johannesburg,1.6235405908560097e-08,2.3292860973356252e-08,16.235405908560097,23.29286097335625
2024-02-10,Johannesburg,2.5577211459903992e-08,3.656783320593604e-08,25.577211459903992,36.56783320593604
2024-02-11,Johannesburg,5.647850187529002e-09,8.089958036805456e-09,5.647850187529002,8.089958036805456
2024-02-12,Johannesburg,1.6885465470295458e-08,2.4140286214446863e-08,16.885465470295458,24.140286214446864
2024-02-13,Johannesburg,2.6262526375830934e-08,3.763263833889141e-08,26.262526375830934,37.63263833889141
2024-02-14,Johannesburg,3.517322255675026e-08,5.03560144693438e-08,35.17322255675026,50.3560144693438
2024-02-15,Johannesburg,2.079060124060561e-08,2.99510389822899e-08,20.79060124060561,29.9510389822899
2024-02-16,Johannesburg,9.961242497524836e-09,1.4520540325690945e-08,9.961242497524836,14.520540325690945
2024-02-17,Johannesburg,6.6039129720252285e-09,9.574727677374996e-09,6.6039129720252285,9.574727677374996
2024-02-18,Johannesburg,1.3639018803246472e-08,1.9765151293427152e-08,13.639018803246472,19.765151293427152
2024-02-19,Johannesburg,2.0517973098321818e-08,2.9366676201902923e-08,20.517973098321818,29.366676201902923
2024-02-20,Johannesburg,3.137757431659338e-08,4.486629023858768e-08,31.377574316593382,44.86629023858768
2024-02-21,Johannesburg,3.649467572586218e-08,5.22627594534697e-08,36.49467572586218,52.2627594534697
