date,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m
2015-01-01,296.29193845450163,292.06152473531773,101315.47957989742,288.7543682249331,0.0026007562953941285,-0.12779714578087248,-2.266460720457159
2015-01-02,300.01751586374905,294.07617607513174,101254.79698579996,289.06221330900354,0.0014891015128308664,0.7410877373403209,-1.008961887525498
2015-01-03,300.78830517535573,293.309430537701,101326.60840106913,287.9080692172777,0.005583738003737553,0.1810237349307229,-0.9397538145055527
2015-01-04,302.4595156870429,295.5742551835008,101194.10213311935,287.64546505994326,1.8834970875021816e-05,0.7563144978203226,-0.37719446802399115
2015-01-05,302.34222995416343,296.04112564767945,101119.10558785994,289.7944642739419,3.822784527671616e-05,1.1091029036070916,-1.207055943584698
2015-01-06,302.914559482627,296.4595266668663,101222.99040979495,290.453476293761,9.927274002442353e-06,0.5103065742797037,-1.3762412464454206
2015-01-07,299.85157576259775,294.6191248038645,101675.01284661372,290.2810518592586,0.004001096918968984,-1.278117411345353,-1.6442471821825897
2015-01-08,300.39667196563806,294.66995477304437,101606.22385724165,290.19633469263835,0.0021926190535304247,-0.33283356326410185,-0.7547034391198604
2015-01-09,300.63049149402616,295.3438621552066,101605.60514117812,290.8301451725341,0.0029848037600027568,-1.4364505264591314,0.5771943387325297
2015-01-10,300.51162688564085,295.1262494857448,101741.00008626562,290.2023845463695,0.0003931919762993286,-1.123748875046882,0.5269731216678036
2015-01-11,300.51318343979216,294.9304208252158,101589.76417399618,290.45058196329586,0.000765270932741731,-1.152969323043259,0.919705712945245
2015-01-12,300.390498617643,294.74014402115506,101518.59207375596,288.6769336498175,0.0,-1.948716620814726,0.308368059701632
2015-01-13,300.82912573505314,295.6275475200183,101244.10307016977,289.22904469693134,0.0001364027105047952,0.49505095861778675,0.24242675679258976
2015-01-14,295.64043783537255,292.63760258499025,101514.3457993229,289.7655438749444,0.0047392755166654095,-2.7376066454298758,-0.31237190461217695
2015-01-15,298.62689088971746,293.31352467821625,101435.36864594318,288.9292871859453,0.0013319964654773726,-0.8744523371350653,-0.49078154609914193
2015-01-16,299.0076336027008,294.1073998677435,100929.44549500333,290.1260434090855,0.010003840085052966,2.0484610888019765,-0.37393866591735936
2015-01-17,301.7919059138359,295.2420405046593,100997.08208530446,289.1815783563292,1.0717212613427861e-05,0.1475850387116759,1.1480623939390564
2015-01-18,296.7782826726901,291.830745461216,101434.56256078163,288.00523558091356,0.0015919543217418443,0.44927583780522895,-3.265768761398808
2015-01-19,298.89241355130673,292.7068382869274,101465.73291085867,287.52550903001276,0.0026978663815246636,0.014480131694303105,-1.287179530953019
2015-01-20,297.62542207522614,292.6649175566982,101741.32606127288,287.9116893290437,0.0008989098868895944,-1.0335845558725032,-2.1234378325658296
2015-01-21,299.41849772609424,293.46290762709384,101933.34426775215,286.3725538556945,0.00036337571986771186,0.11234786727924195,-1.0963111127782894
2015-01-22,301.68189760654025,294.4300790829985,102000.05972161362,287.5936712881808,0.0031626539524375686,-0.752230596715773,-0.18835154079812702
2015-01-23,302.14986578658863,294.82063404967954,101605.79951947655,286.8141598787555,6.519126312159121e-05,-0.09606618903322076,-0.0005050938532155115
2015-01-24,301.4678881988533,295.1797758728022,101368.43660426208,288.9054452762525,0.00034085810869049994,0.23122700369261226,-0.8628076630622942
2015-01-25,302.48733166034714,295.1382677800231,101280.47917516131,289.0839955502075,0.006615008346383653,1.146909960402099,-0.6852316682027677
2015-01-26,301.15120331990863,294.7703140110089,101435.84386016677,289.24096118144774,0.0026689664952957073,0.5400190495180559,0.001680552239396977
2015-01-27,301.91927384034676,295.7651125468147,101394.1196257305,290.20873180876083,0.00428764715793466,-0.05336076832717071,1.2233435057534912
2015-01-28,294.6479538393278,291.07992721456543,101568.36020045912,288.12198080820343,0.0025896266311332223,-0.35147217855101687,-1.3009805363358824
2015-01-29,297.5758073087482,292.92453414410284,101606.71741691903,288.670845019836,0.0006541768707654865,-0.4512600826569095,-1.1641310970543204
2015-01-30,298.98964387899946,293.4733040793769,101590.7350665495,289.05542237097274,0.0011386384940585525,-0.644944160485317,-1.2392567590301407
2015-01-31,297.75648602008135,293.142302313662,101382.02437312587,289.1885876635002,0.008180872163983588,0.6941442459095308,-0.21366643424341542
2015-02-01,300.29565526019115,294.67946394206166,100882.5488163724,289.03558733019014,0.002173709470106886,0.9110557343678337,-0.4427932503194097
2015-02-02,301.5909946491967,294.5239662399028,100672.76357583527,286.1731094510907,0.0008637410836257274,1.8961863626447286,-0.486770771792998
2015-02-03,302.84142990416797,294.9768209320792,100645.95557256942,286.3082639169156,3.0120476949921885e-05,0.7420213964322264,-0.20045210549667017
2015-02-04,302.4905047928815,295.24720878762594,100715.70027269423,288.1727554238126,0.00011159126712915221,0.33222638922833037,-0.8469834527064225
