date,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m
2015-01-01,295.791015625,291.8593444824219,101316.0,288.55352783203125,0.002245284616947174,0.09123935550451279,-2.8647639751434326
2015-01-02,299.4860534667969,293.9498596191406,101258.8125,289.06103515625,0.0005972329527139664,0.8815162181854248,-1.1120822429656982
2015-01-03,300.8175048828125,293.1531982421875,101329.2578125,287.9921569824219,0.007131895050406456,0.2448698729276657,-1.6590632200241089
2015-01-04,302.2842712402344,294.9807434082031,101200.1875,287.0978088378906,1.0253861546516418e-05,0.8856751918792725,-1.000665307044983
2015-01-05,302.556884765625,295.7592468261719,101116.125,289.21234130859375,3.5241246223449707e-06,1.5515704154968262,-1.644742488861084
2015-01-06,303.1794128417969,295.9883117675781,101224.03125,288.48272705078125,1.605600118637085e-06,0.6697177886962891,-1.9369040727615356
2015-01-07,299.5992431640625,294.26727294921875,101695.6640625,289.7345275878906,0.004440345801413059,-1.2716621160507202,-2.26227068901062
2015-01-08,300.0086669921875,294.1861267089844,101623.6875,289.9719543457031,0.006147137843072414,-0.18083973228931427,-1.3427481651306152
2015-01-09,300.1578674316406,294.97149658203125,101642.3125,290.35089111328125,0.005014915019273758,-1.6222834587097168,0.07735269516706467
2015-01-10,300.3179016113281,294.7082824707031,101779.5703125,289.6343994140625,0.0006235819309949875,-1.2476778030395508,0.1508629024028778
2015-01-11,300.0238342285156,294.2024841308594,101641.0078125,289.5201416015625,0.001531653106212616,-1.3419195413589478,0.6385512351989746
2015-01-12,299.87261962890625,294.56695556640625,101553.75,288.0633239746094,0.0,-1.9927531480789185,-0.12867577373981476
2015-01-13,300.6219787597656,295.4222717285156,101267.46875,289.10455322265625,5.475245416164398e-05,0.49920573830604553,0.45233163237571716
2015-01-14,295.5829162597656,292.2692565917969,101543.1640625,289.23944091796875,0.0035379808396101,-3.0732240676879883,-0.7312179207801819
2015-01-15,298.3016052246094,292.7882995605469,101464.0390625,288.234130859375,0.002240048721432686,-0.9089563488960266,-1.1027096509933472
2015-01-16,298.7008056640625,293.7512512207031,100939.8125,289.5987854003906,0.014970455318689346,2.4139060974121094,-0.40643954277038574
2015-01-17,301.0287170410156,294.28009033203125,101040.53125,287.9396667480469,1.1397525668144226e-05,0.4459852874279022,1.0794506072998047
2015-01-18,296.83453369140625,291.8419494628906,101416.75,287.5620422363281,0.001380758360028267,0.8210103511810303,-3.6447031497955322
2015-01-19,298.44989013671875,292.7095642089844,101475.21875,287.7445068359375,0.0009207427501678467,-0.06747910380363464,-1.3579953908920288
2015-01-20,297.5373840332031,292.1788024902344,101744.09375,287.3337707519531,0.0009092055261135101,-1.0092006921768188,-2.345989227294922
2015-01-21,299.4289855957031,293.2548828125,101936.6796875,286.3002014160156,0.00030381977558135986,0.34777411818504333,-1.3165067434310913
2015-01-22,301.33935546875,294.2989807128906,102020.7109375,287.2511291503906,0.0022060703486204147,-0.8706812858581543,-0.6110918521881104
2015-01-23,301.9244689941406,294.51165771484375,101606.1484375,286.2398681640625,6.189756095409393e-05,-0.07417907565832138,-0.1689276546239853
2015-01-24,301.5075988769531,294.93585205078125,101366.4140625,288.71539306640625,0.00033058784902095795,0.3874000012874603,-1.7567228078842163
2015-01-25,302.279052734375,294.8028869628906,101299.2734375,288.873291015625,0.0027493461966514587,1.4079715013504028,-1.1194465160369873
2015-01-26,300.2879638671875,294.3061218261719,101476.53125,288.9625244140625,0.003167891874909401,0.7504164576530457,-0.20867687463760376
2015-01-27,301.63189697265625,295.081298828125,101445.7890625,289.3642272949219,0.009000245481729507,0.35821929574012756,1.0767967700958252
2015-01-28,294.1133728027344,291.122802734375,101554.4921875,288.3411865234375,0.0011694896966218948,-0.13147102296352386,-2.122241258621216
2015-01-29,296.9512939453125,292.60943603515625,101614.28125,288.7188720703125,0.0007850155234336853,-0.3133905827999115,-1.0539133548736572
2015-01-30,298.5511169433594,293.10821533203125,101597.8671875,288.8721618652344,0.000935140997171402,-0.7281354069709778,-1.3641222715377808
2015-01-31,296.97222900390625,292.37567138671875,101408.84375,289.1607971191406,0.01821908727288246,1.0068117380142212,-0.45652687549591064
2015-02-01,300.93975830078125,294.3128967285156,100888.2734375,288.4464416503906,0.0006192047148942947,1.4451249837875366,-0.10568946599960327
2015-02-02,300.38385009765625,293.9623107910156,100707.75,285.4578552246094,0.00048253312706947327,2.1975364685058594,0.1856003999710083
2015-02-03,302.1020812988281,294.4229736328125,100667.5234375,284.9471740722656,1.3178214430809021e-05,1.0662939548492432,0.0924031138420105
2015-02-04,302.3791809082031,294.85791015625,100712.40625,286.70184326171875,1.928582787513733e-05,0.7940998077392578,-0.913168728351593
2015-02-05,303.0236511230469,295.4958801269531,100801.3125,288.5007019042969,6.988644599914551e-06,2.216555595397949,0.16204790771007538
2015-02-06,303.1879577636719,295.5169677734375,100928.3046875,288.91094970703125,0.0,2.118516683578491,-0.01421770453453064
2015-02-07,302.93353271484375,294.829833984375,101219.5859375,286.29351806640625,5.323067307472229e-05,1.5582715272903442,-1.7699575424194336
2015-02-08,302.9010009765625,295.3140563964844,101368.375,287.1043701171875,0.0001564258709549904,0.7797223925590515,-1.5875011682510376
2015-02-09,303.8878173828125,296.80596923828125,101347.9609375,288.8641662597656,3.299117088317871e-05,0.5026001930236816,-2.0922510623931885
2015-02-10,304.116943359375,297.077880859375,101394.1328125,290.4053649902344,0.0005731433629989624,1.350530982017517,-1.377130150794983
