date,precipitation
2015-01-01,0.40404420508292443
2015-01-02,0.0
2015-01-03,0.0
2015-01-04,0.0
2015-01-05,0.0
2015-01-06,0.0
2015-01-07,0.0
2015-01-08,0.0
2015-01-09,0.0
2015-01-10,9.833071668716643
2015-01-11,10.594569026652977
2015-01-12,0.0
2015-01-13,0.0
2015-01-14,10.985698641240754
2015-01-15,1.0423669087350276
2015-01-16,0.0
2015-01-17,0.0
2015-01-18,0.0
2015-01-19,0.0
2015-01-20,0.0
2015-01-21,0.0
2015-01-22,0.0
2015-01-23,0.0
2015-01-24,1.0703438533382348
2015-01-25,52.2573224978933
2015-01-26,21.680101632455195
2015-01-27,10.790422890510696
2015-01-28,10.790422890510696
2015-01-29,0.0
2015-01-30,0.0
2015-01-31,8.204422981333252
2015-02-01,0.0
2015-02-02,0.12456458773072741
2015-02-03,0.0
2015-02-04,0.0
2015-02-05,0.0
2015-02-06,0.0
2015-02-07,19.85561932002826
2015-02-08,0.0
2015-02-09,0.0
2015-02-10,0.14617253681938694
2015-02-11,0.0
2015-02-12,4.09761029848828
2015-02-13,0.12359009144285216
2015-02-14,9.711607016865848
2015-02-15,0.0
2015-02-16,0.1253846963328891
2015-02-17,0.0
2015-02-18,0.0
2015-02-19,0.0
2015-02-20,0.0
2015-02-21,0.12002676950485301
2015-02-22,0.0
2015-02-23,0.0
2015-02-24,0.0
2015-02-25,0.0
2015-02-26,6.790692582009559
2015-02-27,0.0
2015-02-28,3.0207337242793497
2015-03-01,0.0
2015-03-02,0.0
2015-03-03,0.0
2015-03-04,0.0
2015-03-05,0.0
2015-03-06,0.0
2015-03-07,0.0
2015-03-08,0.0
2015-03-09,0.0
2015-03-10,0.0
2015-03-11,0.0
2015-03-12,1.17391432793228
2015-03-13,0.0
2015-03-14,11.524275244423226
2015-03-15,0.541418430044191
2015-03-16,7.74512379908278
2015-03-17,0.0
2015-03-18,7.74512379908278
2015-03-19,0.0
2015-03-20,8.499239442265841
2015-03-21,16.075480268214935
2015-03-22,15.703497993717894
2015-03-23,1.419899776693582
2015-03-24,0.0
2015-03-25,0.0
2015-03-26,4.452039177406654
2015-03-27,1.9982455967006691
2015-03-28,8.337049074266714
2015-03-29,0.0
2015-03-30,0.0
2015-03-31,0.0
2015-04-01,0.0
2015-04-02,0.0
2015-04-03,0.3545548645745764
2015-04-04,0.7471183247968316
2015-04-05,0.0
2015-04-06,0.0
2015-04-07,0.0
2015-04-08,13.931429927606874
2015-04-09,0.0
2015-04-10,0.0
2015-04-11,0.0
2015-04-12,0.5316049338497156
2015-04-13,0.0
2015-04-14,0.0
2015-04-15,0.0
2015-04-16,0.0
2015-04-17,0.0
2015-04-18,1.9202048838971133
2015-04-19,0.0
2015-04-20,0.0
2015-04-21,0.0
2015-04-22,0.6889694596718337
2015-04-23,13.476734613299184
2015-04-24,2.3196122573560465
2015-04-25,0.0
2015-04-26,0.0
2015-04-27,0.3823206240934717
2015-04-28,0.0
2015-04-29,0.0
2015-04-30,0.0
2015-05-01,0.0
2015-05-02,2.2577453405821317
2015-05-03,0.0
2015-05-04,0.0
2015-05-05,0.0
2015-05-06,0.0
2015-05-07,0.0
2015-05-08,0.0
2015-05-09,0.0
2015-05-10,0.30174793360829044
2015-05-11,0.0
2015-05-12,0.0
2015-05-13,0.0
2015-05-14,0.0
2015-05-15,0.0
2015-05-16,0.0
2015-05-17,0.0
2015-05-18,2.679262296313519
2015-05-19,0.0
2015-05-20,0.0
2015-05-21,0.0
2015-05-22,0.0
2015-05-23,0.692249774686179
2015-05-24,0.0
2015-05-25,0.0
2015-05-26,0.13774881792142485
2015-05-27,0.0
2015-05-28,0.0
2015-05-29,0.0
2015-05-30,0.0
2015-05-31,0.0
2015-06-01,0.0
2015-06-02,0.0
2015-06-03,2.9884284473859273
2015-06-04,0.0
2015-06-05,0.0
2015-06-06,0.0
2015-06-07,0.0
2015-06-08,0.0
2015-06-09,0.0
2015-06-10,0.0
2015-06-11,0.0
2015-06-12,0.0
2015-06-13,0.0
2015-06-14,0.0
2015-06-15,0.0
2015-06-16,0.0
2015-06-17,0.0
