date,no2,tropospheric_no2,o3
2020-09-10,0.00010818352289373203,6.351035822549352e-05,0.12219993460147972
2020-09-11,0.000637717232193581,0.0005915115058066213,0.12233314347274116
2020-09-12,0.00016237732035027087,0.00011690354540034492,0.12340449617945069
2020-09-13,8.06022374778401e-05,3.31729809230627e-05,0.12252307840112961
2020-09-14,,,
2020-09-15,0.00012391804295621778,8.26727698153646e-05,0.12460806217513366
2020-09-16,8.780808737826764e-05,3.95525192426751e-05,0.12717686642527173
2020-09-17,8.664736614373946e-05,3.693064439400382e-05,0.12814494991775932
2020-09-18,9.344301449679364e-05,4.1878791508110276e-05,0.12698953532800286
2020-09-19,9.357277033390291e-05,3.534171628168257e-05,0.12475465830659353
2020-09-20,7.73055949734552e-05,3.3479081870218554e-05,0.12586863002276816
2020-09-21,9.353782465212711e-05,4.578001667620671e-05,0.12730147118019663
2020-09-22,9.501663297476528e-05,,0.13146385448810996
2020-09-23,0.00021322709363521888,0.00016303880763454334,0.1335843251726282
2020-09-24,0.00011167876564320091,6.328733577735497e-05,0.13175998177753367
2020-09-25,8.457563810066803e-05,3.8340753896789704e-05,0.13025110076221388
2020-09-26,7.484421393776514e-05,2.5799901875306632e-05,0.12859426831539694
2020-09-27,7.909621136202625e-05,3.027747343874434e-05,0.12963538776707906
2020-09-28,8.245958576984499e-05,3.424423381372615e-05,0.12656189434758444
2020-09-29,0.00016056619200243054,0.00011100219476406102,0.12773402469271758
2020-09-30,8.744148981209425e-05,3.951975202239966e-05,0.12911378997339126
2020-10-01,7.911037231896523e-05,2.953801464431287e-05,0.1272026077601966
2020-10-02,9.451225679244318e-05,,0.12620506408895338
2020-10-03,8.001448830239644e-05,3.1514692805972324e-05,0.13252011893614996
2020-10-04,9.070858819007786e-05,4.167315500593061e-05,0.12968128635417353
2020-10-05,,,0.12727453732223493
2020-10-06,0.00014485308270500546,,0.12747157936949255
2020-10-07,9.684566648096047e-05,4.799146921754444e-05,0.1296763867915692
2020-10-08,0.00012898394022880686,7.853717529505456e-05,0.12928850336712144
2020-10-09,9.648844856349971e-05,4.793749373010111e-05,0.1289222718128011
2020-10-10,8.89876164201655e-05,3.612191894073729e-05,0.12633459396754848
2020-10-11,0.0002203282167935814,,0.12933618673413919
2020-10-12,8.539945059784234e-05,3.849785972210632e-05,0.13066717688534038
2020-10-13,8.374914141693391e-05,3.451366675526833e-05,0.12676085992166927
2020-10-14,0.000105274091927769,5.8636379981414496e-05,0.12674324722308392
2020-10-15,0.00010215540444545774,4.887393883255968e-05,0.12857987121191786
2020-10-16,0.0001157843663277605,6.126588263643698e-05,0.12353637940827086
2020-10-17,0.00010789942232957937,5.686518379968441e-05,0.12366844475634214
2020-10-18,8.841691802088735e-05,3.3558084344910525e-05,0.12484255403329113
2020-10-19,7.185792097618288e-05,2.9612241700972374e-05,0.12458742184794422
2020-10-20,9.59734718173761e-05,4.669091640395551e-05,0.12689794078783787
2020-10-21,0.00011642847817247772,6.540906735958939e-05,0.1270923755237802
2020-10-22,9.968390821854382e-05,4.5984341406754564e-05,0.12603165034852182
2020-10-23,0.00014173781189981852,8.19780686314162e-05,0.1257124024584642
2020-10-24,0.00014855629350873795,0.00017029160525516,0.12678600795703043
2020-10-25,0.00011328827550635211,5.162651668057388e-05,0.12791517558265952
2020-10-26,,,0.126286608409343
2020-10-27,0.00011719891459711557,4.933427333022464e-05,0.12737782191124006
2020-10-28,0.00012406795767164785,7.705194977772537e-05,0.12538677431442466
2020-10-29,0.00010499241728310111,5.5392411113364056e-05,0.1276236202552487
2020-10-30,0.00017155639884684415,0.00011856837749508935,0.1302015284771516
2020-10-31,0.00010961210297489244,5.9291649018013024e-05,0.1293428490199079
2020-11-01,7.167358342971036e-05,2.0868399883158457e-05,0.13302589829573291
2020-11-02,9.004258362159988e-05,,0.1268248643476469
2020-11-03,8.405113395114396e-05,,0.12361791749277473
2020-11-04,7.909176502670338e-05,2.156498697203636e-05,0.12343386368904684
2020-11-05,8.579445095584002e-05,3.3917429322683186e-05,0.12258484159931496
2020-11-06,8.239231505249984e-05,2.9975136308856296e-05,0.11997090846701002
2020-11-07,8.46379642870876e-05,3.2867349502342285e-05,0.11964715334966614
2020-11-08,0.00010494356877097547,5.485535411747706e-05,0.12061239891287151
2020-11-09,9.752161696584413e-05,,0.12281606489339639
2020-11-10,0.00012933839149724212,,0.12470563412367064
2020-11-11,9.0215562901315e-05,,0.12103656168690596
2020-11-12,0.0001748830035490567,,
2020-11-13,0.00014941998267808298,,0.1227140812740437
2020-11-14,9.268841400883274e-05,3.7432345757603805e-05,0.12616156246555474
2020-11-15,0.00011761922533229589,5.3903453300898834e-05,0.12664382477875527
2020-11-16,9.928652922472738e-05,4.738978245641032e-05,0.12865271757299673
2020-11-17,8.813737918208735e-05,,0.12751247765685111
2020-11-18,8.42490889722698e-05,2.9373520419773476e-05,0.12754966738912982
2020-11-19,8.841281679336059e-05,,0.12329540280051966
2020-11-20,0.00011994904902849291,,0.1260741112942525
2020-11-21,6.642703598479744e-05,,0.1270674840631585
2020-11-22,8.390154496114542e-05,,0.1275595855371817
2020-11-23,8.167896766286101e-05,2.8932045907155454e-05,0.12561282108712676
2020-11-24,8.013361498869243e-05,2.5264480226630618e-05,0.1234445224476017
2020-11-25,8.027273438461392e-05,2.630438776886975e-05,0.12050550689176268
2020-11-26,7.682436640256578e-05,3.327576259219546e-05,0.12343905560293772
2020-11-27,9.735873360779284e-05,,0.12307444879885637
2020-11-28,7.751803825599884e-05,,0.12435309702932727
2020-11-29,9.049536323005028e-05,2.8743332561731157e-05,0.1234785355552859
2020-11-30,7.899748061075364e-05,2.4461030670470986e-05,0.12420763716015565
2020-12-01,7.887004729388599e-05,1.3948525178931052e-05,0.12544941229464435
2020-12-02,0.0002645113754667932,0.0002048693741291872,0.127913974077925
2020-12-03,7.580498217264528e-05,1.9334879373546893e-05,0.12738507153026446
2020-12-04,0.0001361256567319177,,0.12381161658909848
2020-12-05,8.181859452475802e-05,,0.12418599346037014
2020-12-06,0.00010929744863692479,4.1982999299884695e-05,0.12252451583134684
2020-12-07,9.25245522703686e-05,4.175946092696555e-05,0.12488894128214777
2020-12-08,9.236699116488648e-05,,0.12350627613737547
2020-12-09,7.497350545011659e-05,2.160220280135025e-05,0.1195377408373333
2020-12-10,0.00011627892838502687,,0.11869707836067801
2020-12-11,8.86345246535039e-05,3.954135644377893e-05,0.11984817146328924
2020-12-12,,,0.1221407189316474
2020-12-13,7.964014287551272e-05,,0.11942680439941007
2020-12-14,5.220541007064864e-05,,0.12001113739294474
2020-12-15,0.0001090116638528976,7.100508384629354e-05,0.12104317141853742
2020-12-16,0.00014496045590426637,5.401361283442835e-05,0.12217839428585356
2020-12-17,0.0001748176931213089,,0.11961293925423236
2020-12-18,0.00012135914844735795,5.8573948128322906e-05,0.12115371693455312
2020-12-19,9.846577969815288e-05,4.9584907920346955e-05,0.12057442996049135
2020-12-20,0.0001394195946663667,8.953287905097365e-05,0.12017416705748304
2020-12-21,8.194698341093041e-05,3.052382027487992e-05,0.11757446981474783
2020-12-22,6.924859396640756e-05,,0.11650611401342592
2020-12-23,5.940721541194908e-05,,0.12135224048391313
2020-12-24,9.353700008519549e-05,4.627579765215616e-05,0.12015427669306733
2020-12-25,6.870546753487135e-05,2.214509726755211e-05,0.12139097517686545
2020-12-26,9.441804075098987e-05,,0.11918168742115004
2020-12-27,8.614756148648337e-05,,0.11998134116891232
2020-12-28,9.642685845418774e-05,3.686345038461952e-05,0.12173542668726899
2020-12-29,8.848930711844394e-05,4.4345581402664514e-05,0.11742577713171046
2020-12-30,0.0002282191655737997,5.284897449458095e-05,0.11787303530345881
2020-12-31,9.335750749014434e-05,3.956343366959727e-05,0.11527948913895301
2021-01-01,,,
2021-01-02,0.00011758597202307628,,0.11535931074845107
2021-01-03,6.0952380980289534e-05,1.0776689086150477e-05,0.11668341275660302
2021-01-04,9.300410789203253e-05,3.763898821364403e-05,0.11878525352388117
2021-01-05,8.959064056349557e-05,,0.11746624028069126
2021-01-06,,,0.11640354563412608
2021-01-07,0.00013559636862739725,,0.11711073150869497
2021-01-08,9.72069085594939e-05,6.852259292296591e-05,0.11788440168441851
2021-01-09,9.831589876710917e-05,4.671623122930663e-05,0.1196750569357375
2021-01-10,9.874242905777124e-05,,0.1203110182049832
2021-01-11,5.587333472927239e-05,,0.11523409652961983
